date,equity,cash,positions
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-04,99940.51610904,90031.07610904,1
2024-07-05,100113.51610904,90031.07610904,1
2024-07-08,100241.53610904001,90031.07610904,1
2024-07-09,100037.39610904001,90031.07610904,1
2024-07-10,100082.37610904001,90031.07610904,1
2024-07-11,100262.29610904,90031.07610904,1
2024-07-12,100255.37610904001,90031.07610904,1
2024-07-15,100203.47610904,90031.07610904,1
2024-07-16,100151.57610904,90031.07610904,1
2024-07-17,100200.01610904,90031.07610904,1
2024-07-18,100272.67610904001,90031.07610904,1
2024-07-19,100262.29610904,90031.07610904,1
2024-07-22,100234.61610904,90031.07610904,1
2024-07-23,100328.03610904001,90031.07610904,1
2024-07-24,100352.25610904,90031.07610904,1
2024-07-25,100493.17565734251,85234.56565734251,2
2024-07-26,100568.06565734252,85234.56565734251,2
2024-07-29,100638.08565734251,85234.56565734251,2
2024-07-30,100394.85565734252,85234.56565734251,2
2024-07-31,100416.9556573425,85234.56565734251,2
2024-08-01,99831.43565734252,85234.56565734251,2
2024-08-02,99754.8856573425,85234.56565734251,2
2024-08-05,99525.03565734251,85234.56565734251,2
2024-08-06,99668.63565734251,85234.56565734251,2
2024-08-07,100041.05565734251,85234.56565734251,2
2024-08-08,100027.08565734251,85234.56565734251,2
2024-08-09,99953.8756573425,85234.56565734251,2
2024-08-12,99909.7256573425,85234.56565734251,2
2024-08-13,99939.3556573425,85234.56565734251,2
2024-08-14,100033.63565734251,85234.56565734251,2
2024-08-15,100257.9656573425,85234.56565734251,2
2024-08-16,100287.4456573425,85234.56565734251,2
2024-08-19,100349.97565734251,85234.56565734251,2
2024-08-20,100191.28565734251,85234.56565734251,2
2024-08-21,100188.7756573425,85234.56565734251,2
2024-08-22,100248.42565734251,85234.56565734251,2
2024-08-23,100459.2956573425,85234.56565734251,2
2024-08-27,100455.55565734251,85234.56565734251,2
2024-08-28,100305.8456573425,85234.56565734251,2
2024-08-29,100330.35500284251,76947.1150028425,3
2024-08-30,100291.8650028425,76947.1150028425,3
2024-09-02,100005.41500284249,76947.1150028425,3
2024-09-03,99807.9739685925,84802.2539685925,2
2024-09-04,99777.4739685925,84802.2539685925,2
2024-09-05,99890.0739685925,84802.2539685925,2
2024-09-06,99690.4439685925,84802.2539685925,2
2024-09-09,99886.1539685925,84802.2539685925,2
2024-09-10,99716.2239685925,84802.2539685925,2
2024-09-11,99849.4039685925,84802.2539685925,2
2024-09-12,99885.77396859249,84802.2539685925,2
2024-09-13,99923.3639685925,84802.2539685925,2
2024-09-16,99955.44396859249,84802.2539685925,2
2024-09-17,100014.7339685925,84802.2539685925,2
2024-09-18,99832.9439685925,84802.2539685925,2
2024-09-19,99914.4839685925,84802.2539685925,2
2024-09-20,99862.5839685925,84802.2539685925,2
2024-09-23,99864.8339685925,84802.2539685925,2
